RAID Type,Read Time,Write Time,Total IOPS
RAID6,0.0207,0,0.0
RAID5,0.0204,0.0,0.0
RAID5,0.0206,0.0,0.0
RAID5,0.0205,0.0311,41.16
RAID5,0.0206,0.0,0.0
RAID5,0.021,0.0,0.0
RAID5,0.0202,0.0,0.0
RAID5,0.0205,0.0,0.0
RAID5,0.0214,0,0.0
RAID5,0.0204,0.0104,64.65
RAID5,0.0204,0.0104,64.46
RAID5,0.0207,0.0104,64.33
RAID6,0.0204,0.0155,48.46
RAID6,0.0205,0.0154,48.7
RAID5,0.0205,0.0105,64.09
RAID5,0.0205,0.0104,64.36
RAID5,0.0205,0.0104,64.29
RAID5,0.0204,0.0104,64.52
RAID6,0.0205,0.0155,48.56
RAID1,0.0205,0.0102,156.3
RAID5,0.0205,0.0103,64.72
RAID5,0.0203,0.0104,64.53
